sheet,cell,media_name,stack_bb,hero_pos,villain_pos,spot,suggested_filename,positions_found,spot_hints,near_up,near_left,near_corner
Main,C51,image148.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C51.png,UTG;CO;BTN;SB;BB,,,,
Main,C52,image149.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_C52.png,BTN;SB;BB;UTG,,,,
Main,C53,image150.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_C53.png,HJ;SB;BB;BTN;UTG,,,,
Main,C54,image151.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_C54.png,CO;BB;BTN;UTG;HJ,,,,
Main,B55,image152.png,15bb,SB,UTG,jam,15bb_sb_vs_utg_Main_B55.png,SB;BB;BTN;UTG;HJ;CO,,,,
Main,C55,image152.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_C55.png,BTN;UTG;HJ;CO,,,,
Main,B45,image153.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_B45.png,BTN;SB;BB;CO;UTG;HJ,,,,
Main,C45,image153.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_C45.png,CO;BB;UTG;HJ,,,,
Main,B56,image154.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_B56.png,SB;BB;BTN;UTG;HJ;CO,,,,
Main,C56,image155.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_C56.png,SB;UTG;HJ;CO;BTN,,,,
Main,B58,image156.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_B58.png,BB;BTN;SB;HJ;CO,,,,
Main,C58,image157.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C58.png,BB;HJ;CO;BTN;SB,,,,
Main,B37,image158.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_B37.png,BB;HJ;CO;UTG,,,,
Main,C37,image158.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_C37.png,BTN;HJ;UTG;CO,,,,
Main,H2,image159.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H2.png,UTG,,,,
Main,I2,image159.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I2.png,UTG,,,,
Main,H11,image160.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H11.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I11,image161.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I11.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,H12,image162.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H12.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I12,image162.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I12.png,UTG;CO;BTN;SB;BB,,,,
Main,H22,image163.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H22.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I22,image164.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I22.png,UTG;BTN;SB;BB,,,,
Main,H23,image165.png,20bb,UTG,UTG,jam,20bb_utg_vs_utg_Main_H23.png,UTG;CO;BTN;SB;BB,,,,
Main,I23,image166.png,20bb,UTG,UTG,jam,20bb_utg_vs_utg_Main_I23.png,UTG;SB;BB,,,,
Main,H24,image167.png,20bb,BTN,UTG,rfi,20bb_btn_vs_utg_Main_H24.png,BTN;SB;BB;UTG,,,,
Main,I24,image167.png,20bb,BB,UTG,rfi,20bb_bb_vs_utg_Main_I24.png,BB;UTG,,,,
Main,H32,image168.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H32.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I32,image169.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I32.png,UTG;CO;BTN;SB;BB;HJ,,,,
Main,H33,image170.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H33.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I33,image171.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I33.png,UTG;BTN;SB;BB;HJ,,,,
Main,H34,image172.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_H34.png,CO;BTN;SB;BB;HJ;UTG,,,,
Main,I34,image173.png,20bb,SB,UTG,rfi,20bb_sb_vs_utg_Main_I34.png,SB;BB;HJ;UTG,,,,
Main,H35,image174.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_H35.png,HJ;BTN;SB;BB;UTG,,,,
Main,I35,image174.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_I35.png,HJ;BB;UTG,,,,
Main,H41,image175.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H41.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I41,image176.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I41.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,H42,image177.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H42.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,I42,image178.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I42.png,UTG;CO;BTN;SB;BB,,,,
Main,H43,image179.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_H43.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,I43,image180.png,20bb,BTN,UTG,rfi,20bb_btn_vs_utg_Main_I43.png,BTN;SB;BB;CO;UTG,,,,
Main,H44,image181.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_H44.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,I44,image182.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_I44.png,HJ;SB;BB;CO;UTG,,,,
